#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       1.474055966085e-01      -5.889259460994e-02      -1.108411114916e+02      -1.672013391791e+02      -5.453487098006e-01      -1.473190225720e+02       4.737532852209e-02       4.737498252425e-02 
       1.523410043770e-01      -5.558727482114e-02      -1.069674921405e+02      -1.701099637875e+02      -5.417892768837e-01      -1.490118521425e+02       4.486501897689e-02       4.486468880373e-02 
       1.574391227956e-01      -5.251043083014e-02      -1.035527262389e+02      -1.730141400522e+02      -4.749400299143e-01      -1.507669735328e+02       4.250113766946e-02       4.250087624726e-02 
       1.627061301237e-01      -4.983227375215e-02      -1.021856430623e+02      -1.761716765605e+02      -4.921159827893e-01      -1.530308673272e+02       4.039148738274e-02       4.039122402714e-02 
       1.681482499081e-01      -4.762529408086e-02      -1.040683289970e+02      -1.798098207776e+02      -4.342537809190e-01      -1.561537667556e+02       3.859092773397e-02       3.859071689056e-02 
       1.737717649169e-01      -4.586783670741e-02      -1.095603500110e+02      -1.840440325532e+02      -4.479196184226e-01      -1.602866760178e+02       3.708985001760e-02       3.708964071269e-02 
       1.795830346887e-01      -4.441902023759e-02      -1.179068394201e+02      -1.888188786025e+02      -4.069324640976e-01      -1.652672423258e+02       3.580725157870e-02       3.580707733687e-02 
       1.855885175531e-01      -4.308691840783e-02      -1.273476700432e+02      -1.939256064721e+02      -4.174815338230e-01      -1.706735866954e+02       3.462403241957e-02       3.462386131520e-02 
       1.917947979727e-01      -4.165574115430e-02      -1.355167859530e+02      -1.989874622656e+02      -3.784842086254e-01      -1.758520015196e+02       3.340305687249e-02       3.340291514266e-02 
       1.982086200645e-01      -3.998307767717e-02      -1.403015799026e+02      -2.036096849225e+02      -3.900246931864e-01      -1.801821308196e+02       3.204633594394e-02       3.204619487430e-02 
       2.048369281671e-01      -3.805035482885e-02      -1.408285108707e+02      -2.075962562931e+02      -3.433559739600e-01      -1.833747761082e+02       3.053754909998e-02       3.053743722227e-02 
       2.116869153582e-01      -3.597457952725e-02      -1.379641636462e+02      -2.110219846775e+02      -3.533475578949e-01      -1.856236501292e+02       2.894382840069e-02       2.894371574475e-02 
       2.187660808833e-01      -3.394277474364e-02      -1.341299628863e+02      -2.142192859295e+02      -3.123625768541e-01      -1.875462780129e+02       2.738158532432e-02       2.738149574079e-02 
       2.260822975556e-01      -3.214098398637e-02      -1.323340274292e+02      -2.176509227088e+02      -3.054064924462e-01      -1.899590470653e+02       2.596788345942e-02       2.596779958822e-02 
       2.336438903380e-01      -3.066250384005e-02      -1.347373427992e+02      -2.217070077223e+02      -2.993085698990e-01      -1.934890620028e+02       2.476604252978e-02       2.476596464539e-02 
