#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.142926E-03   0.226691E+07   0.226691E+07   0.299334E+07   0.299297E+07   0.000000E+00   0.226691E+07   0.226691E+07   0.227653E+07  -0.600417E+00   0.226249E+07   0.226249E+07   0.734331E+00
   0.147770E-03   0.226689E+07   0.226689E+07   0.299131E+07   0.299091E+07   0.000000E+00   0.226689E+07   0.226689E+07   0.227650E+07  -0.600409E+00   0.226247E+07   0.226247E+07   0.759187E+00
   0.152779E-03   0.226687E+07   0.226686E+07   0.298914E+07   0.298871E+07   0.000000E+00   0.226687E+07   0.226687E+07   0.227647E+07  -0.600401E+00   0.226245E+07   0.226245E+07   0.784882E+00
   0.157958E-03   0.226684E+07   0.226684E+07   0.298682E+07   0.298637E+07   0.000000E+00   0.226684E+07   0.226684E+07   0.227644E+07  -0.600392E+00   0.226242E+07   0.226242E+07   0.811444E+00
   0.163312E-03   0.226681E+07   0.226681E+07   0.298435E+07   0.298386E+07   0.000000E+00   0.226681E+07   0.226681E+07   0.227640E+07  -0.600382E+00   0.226240E+07   0.226240E+07   0.838902E+00
   0.168847E-03   0.226679E+07   0.226678E+07   0.298170E+07   0.298118E+07   0.000000E+00   0.226679E+07   0.226679E+07   0.227637E+07  -0.600372E+00   0.226237E+07   0.226237E+07   0.867287E+00
   0.174570E-03   0.226676E+07   0.226675E+07   0.297888E+07   0.297832E+07   0.000000E+00   0.226676E+07   0.226676E+07   0.227633E+07  -0.600361E+00   0.226234E+07   0.226234E+07   0.896627E+00
   0.180487E-03   0.226672E+07   0.226672E+07   0.297586E+07   0.297526E+07   0.000000E+00   0.226672E+07   0.226672E+07   0.227629E+07  -0.600349E+00   0.226231E+07   0.226231E+07   0.926957E+00
   0.186605E-03   0.226669E+07   0.226669E+07   0.297264E+07   0.297200E+07   0.000000E+00   0.226669E+07   0.226669E+07   0.227624E+07  -0.600337E+00   0.226227E+07   0.226227E+07   0.958308E+00
   0.192930E-03   0.226665E+07   0.226665E+07   0.296919E+07   0.296852E+07   0.000000E+00   0.226665E+07   0.226665E+07   0.227619E+07  -0.600323E+00   0.226224E+07   0.226224E+07   0.990714E+00
   0.199469E-03   0.226661E+07   0.226661E+07   0.296552E+07   0.296480E+07   0.000000E+00   0.226661E+07   0.226661E+07   0.227614E+07  -0.600309E+00   0.226220E+07   0.226220E+07   0.102421E+01
