#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       6.203357367808e-05      -4.485135275944e-02      -3.425075786572e-02      -3.425079716381e-02      -3.424932272299e-02      -3.425260492576e-02       4.741803597890e-01       4.740961221211e-01 
       6.347852123092e-05      -4.692510607790e-02      -3.586487786913e-02      -3.586492095316e-02      -3.586322176484e-02      -3.586680496682e-02       4.741792372506e-01       4.740951023123e-01 
       6.495712593594e-05      -4.909276598465e-02      -3.755506246812e-02      -3.755510970232e-02      -3.755316020111e-02      -3.755707270454e-02       4.741780628572e-01       4.740940353800e-01 
       6.647017176895e-05      -5.135839443456e-02      -3.932489585832e-02      -3.932494764244e-02      -3.932271961479e-02      -3.932699241726e-02       4.741768342814e-01       4.740929192219e-01 
       6.801846096686e-05      -5.372621005714e-02      -4.117813092397e-02      -4.117818769592e-02      -4.117565001540e-02      -4.118031706914e-02       4.741755471214e-01       4.740917496635e-01 
       6.960281445311e-05      -5.620059272749e-02      -4.311869762597e-02      -4.311875986527e-02      -4.311587820332e-02      -4.312097669790e-02       4.741742001568e-01       4.740905256998e-01 
       7.122407227289e-05      -5.878608829419e-02      -4.515071090026e-02      -4.515077913353e-02      -4.514751564113e-02      -4.515308631411e-02       4.741727900838e-01       4.740892442858e-01 
       7.288309403854e-05      -6.148741101071e-02      -4.727847941375e-02      -4.727855421773e-02      -4.727486717649e-02      -4.728095465354e-02       4.741713123742e-01       4.740879011389e-01 
       7.458075938538e-05      -6.430944931763e-02      -4.950651538376e-02      -4.950659738958e-02      -4.950244082687e-02      -4.950909399658e-02       4.741697680534e-01       4.740864975382e-01 
       7.631796843804e-05      -6.725726780016e-02      -5.183954264769e-02      -5.183963254890e-02      -5.183495581893e-02      -5.184222823965e-02       4.741681489316e-01       4.740850255853e-01 
       7.809564228775e-05      -7.033611127117e-02      -5.428250853216e-02      -5.428260708761e-02      -5.427735440868e-02      -5.428530475816e-02       4.741664557849e-01       4.740834863236e-01 
       7.991472348071e-05      -7.355140846544e-02      -5.684059268835e-02      -5.684070073054e-02      -5.683481067746e-02      -5.684350324508e-02       4.741646826280e-01       4.740818740815e-01 
       8.177617651787e-05      -7.690877361836e-02      -5.951921919709e-02      -5.951933763765e-02      -5.951274258627e-02      -5.952224781118e-02       4.741628272468e-01       4.740801869472e-01 
       8.368098836625e-05      -8.041400925087e-02      -6.232406723355e-02      -6.232419707223e-02      -6.231682258954e-02      -6.232721765084e-02       4.741608840600e-01       4.740784196617e-01 
       8.563016898231e-05      -8.407310839703e-02      -6.526108397766e-02      -6.526122630934e-02      -6.525299048151e-02      -6.526435994814e-02       4.741588512110e-01       4.740765706942e-01 
